video,Verbal Fluency,Hope & Positive Expectations,Persuasiveness,Emotional Expression,Alliance Rupture-Repair Responsiveness,Alliance Bond Capacity,"Warmth, Acceptance, & Understanding",Empathy
data/FIS996/DE0309_T1_Bethany,"The clinician is speaking in a relaxed manner and without significant signs of anxiety. The verbal quality of the response is fluent and melodic. The response is easy to follow. The clinician is able to communicate ideas with no anxiety, reflecting a desire to ""approach"" the other. Therefore, the clinician receives a score of 5.055555556",,,,"The clinician recognizes the power dynamics at play in the session and the potential for the clinician to be perceived as wanting something specific from the patient. The clinician reassures the patient that they are there to support them and that they understand how their interactions might feel clinical. The clinician also acknowledges that the sessions can be hard and that feeling like they need to explain things perfectly can be paralyzing. The clinician also reassures the patient that they do not want anything in particular and that they want the patient to drive the session. The clinician also encourages the patient to express themselves in any way they choose, even if they do not have the specific words for it. The clinician is responsive to the patient's emotional and interpersonal cues and attempts to repair the interpersonal issue by engaging the patient in a direct discussion of the immediate moment-to-moment interaction. The clinician recognizes the power dynamics at play and the potential for the clinician to be perceived as wanting something specific from the patient. The clinician also acknowledges that the sessions can be hard and that feeling like they need to explain things perfectly can be paralyzing. The clinician also reassures the patient that they do not want anything in particular and that they want the patient to drive the session. The clinician also encourages the patient to express themselves in any way they choose, even if they do not have the specific words for it. The clinician is responsive to the patient's emotional and interpersonal cues and attempts to repair the interpersonal issue by engaging the patient in a direct discussion of the immediate moment-to-moment interaction. The clinician recognizes the power dynamics at play and the potential for the clinician to be perceived as wanting something specific from the patient. The clinician also acknowledges that the sessions can be hard and that feeling like they need to explain things perfectly can be paralyzing. The clinician also reassures the patient that they do not want anything in particular and that they want the patient to drive the session. The clinician also encourages the patient to express themselves in any way they choose, even if they do not have the specific words for it. The clinician is responsive to the patient's emotional and interpersonal cues and attempts to repair the interpersonal issue by engaging the patient in a direct discussion of the immediate moment-to-moment interaction. The clinician recognizes the power dynamics at play and the potential for the clinician to be perceived as wanting something specific from the patient. The clinician also acknowledges that the sessions can be hard and that feeling like they need to explain",,,
data/FIS996/JS0513_T1_Jessica,,,,"The clinician is emotionally expressive at a moderate level. There is more emotion than found in ordinary speech, but it is not as focused in its delivery as the maximum rating of 5. The clinician asks the patient about other times when she felt disappointed with the outcome of a situation. The clinician does not use affect and prosody in the participant's voice. The response is delivered in a neutral manner. The primary criterion is that the vocal expression conveys emotion. There may be a more focused delivery of emotional intonations to emphasize meanings that influence other processes (e.g. persuasion). The participant may even be somewhat provocative or challenging in delivering an emotion-based response toward the client in the video clip. However, a ""5"" should not be rated if the affect is primarily demeaning or hostile toward the other (in which case a ""3"" would be the maximum rating possible).",,,,
data/FIS996/CR0929_T2_Bethany,,,,,,,"The clinician shows no warmth, acceptance, and understanding towards the patient. The clinician does not show any sign of caring for the patient. The clinician does not show any sign of acceptance and understanding towards the patient. The clinician does not show any sign of concern for the patient. The clinician does not show any sign of respect for the patient. The clinician does not show any sign of respect for the patient. The clinician does not show any sign of respect for the patient. The clinician does not show any sign of respect for the patient. The clinician does not show any sign of respect for the patient. The clinician does not show any sign of respect for the patient. The clinician does not show any sign of respect for the patient. The clinician does not show any sign of respect for the patient. The clinician does not show any sign of respect for the patient. The clinician does not show any sign of respect for the patient. The clinician does not show any sign of respect for the patient. The clinician does not show any sign of respect for the patient. The clinician does not show any sign of respect for the patient. The clinician does not show any sign of respect for the patient. The clinician does not show any sign of respect for the patient. The clinician does not show any sign of respect for the patient. The clinician does not show any sign of respect for the patient. The clinician does not show any sign of respect for the patient. The clinician does not show any sign of respect for the patient. The clinician does not show any sign of respect for the patient. The clinician does not show any sign of respect for the patient. The clinician does not show any sign of respect for the patient. The clinician does not show any sign of respect for the patient. The clinician does not show any sign of respect for the patient. The clinician does not show any sign of respect for the patient. The clinician does not show any sign of respect for the patient. The clinician does not show any sign of respect for the patient. The clinician does not show any sign of respect for the patient. The clinician does not show any sign of respect for the patient. The clinician does not show any sign of respect for the patient. The clinician does not show any sign of respect for the patient. The clinician does not show any sign of respect for the patient. The clinician does not",
data/FIS996/JS0513_T3_Luke,,,,,"The clinician recognizes the interpersonal issue and discusses this further in more general terms. The clinician asks the patient to reflect on her initial thoughts about the sessions and invites her to share any thoughts she has about the sessions not going the way she would like them to. The clinician also invites the patient to reflect on her role in the sessions not going the way she would like them to. The clinician does not address an issue that is tangentially related to the interpersonal issue presented, nor does the clinician react to the interpersonal tension in a way that is nonproductive or likely exacerbates the rupture. Therefore, the clinician receives a score of 337534444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444",,,
data/FIS996/RM0605_T1_Jessica,,,,,"The clinician recognizes the interpersonal issue, and may discuss this further in more general terms. The clinician mentions that the patient feels frustrated because they keep coming back without making progress. The clinician also mentions that the patient has made some progress, but it is not clear whether the clinician is trying to repair the interpersonal issue. The clinician also mentions that the patient wants to set goals for the future, but it is not clear whether the clinician is trying to repair the interpersonal issue. Therefore, the clinician gets a score of 2.",,,
data/FIS996/NR0802_T1_Jessica,,"The clinician's response is ordinary. There is no hopefulness expressed, nor is there any reason for being hopeful. The clinician does not build the client's agency or facilitate the building of pathways to meet the client's goals. Therefore, the clinician's response is coded as Score 3.",,,,,,
data/FIS996/TK0502_T3_Jessica,,,,,"The clinician recognizes the interpersonal issue and discusses this further in more general terms. The clinician mentions that it is a good time to check in and correct course in therapy. The clinician also mentions that the patient might be feeling stalled or stuck or unclear whether this is helping or whether it is going anywhere. The clinician also mentions that it is a great opportunity for them to be thinking about whether they could be doing anything different in their approach to the therapy session. The clinician also mentions that there might be things that the patient was looking for that the clinician is not aware of that it might be good for them to talk about. The clinician also mentions that there might be things that the patient is bringing to the therapy exchange that are making it difficult for them to have a good sense of where they are going or whether they are making any progress. The clinician also mentions that they are curious to hear the patient's thoughts about this. The clinician also mentions that they are open to discussing whether there is anything they could be doing differently or the patient could be doing differently in order to be more confident about being on track and doing the work that the patient wants to be doing. Therefore, the clinician is able to recognize the interpersonal issue and discuss this further in more general terms. Therefore, the clinician receives a score of 3375453333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333",,,
data/FIS996/MC1107_T3_Savannah,"The clinician is speaking in a relaxed manner and without significant signs of anxiety. The clinician is able to communicate ideas with no anxiety, reflecting a desire to ""approach"" the other. The verbal quality of the response is fluent. Therefore, the clinician receives a score of 44575.",,,,,,,
data/FIS996/SC0723_T2_Jackson,,,,,"The clinician does not address the interpersonal issue presented. The clinician does not make attempts repair the interpersonal issue by engaging the client in a direct discussion of the immediate moment-to-moment interaction. This may include how specific relational messages are being expressed by the client in the video clip. The clinician does not make any attempt to repair that interpersonal issue. Therefore, the clinician receives a score of 1.00.",,,
data/FIS996/BY1218_T1_Jackson,"The clinician is speaking in a relaxed manner and without significant signs of anxiety. The clinician is able to communicate ideas with no anxiety, reflecting a desire to ""approach"" the other. The verbal quality of the response is fluent. Therefore, the clinician receives a score of 44575.","The clinician does not express clear hope about the client’s future and/or positive expectations about therapeutic work. There is no allusion to building the client’s agency as well as how the client might participate or do something that will help move toward his/her desired goals (i.e., pathways). The clinician does not build the client’s agency. The clinician does not facilitate the building of pathways to meet the client’s goals. The clinician does not express any hopefulness. The clinician does not express any reason for being hopeful. The clinician does not address any issues or concerns beyond the control of the other. The clinician does not suggest that the other cannot change or improve his/her problems. The clinician does not address any issues or concerns beyond the control of the other. The clinician does not suggest that the other cannot change or improve his/her problems. The clinician does not express any hopelessness. The clinician does not address any issues or concerns beyond the control of the other. The clinician does not suggest that the other cannot change or improve his/her problems. The clinician does not express any hopelessness. The clinician does not address any issues or concerns beyond the control of the other. The clinician does not suggest that the other cannot change or improve his/her problems. The clinician does not express any hopelessness. The clinician does not address any issues or concerns beyond the control of the other. The clinician does not suggest that the other cannot change or improve his/her problems. The clinician does not express any hopelessness. The clinician does not address any issues or concerns beyond the control of the other. The clinician does not suggest that the other cannot change or improve his/her problems. The clinician does not express any hopelessness. The clinician does not address any issues or concerns beyond the control of the other. The clinician does not suggest that the other cannot change or improve his/her problems. The clinician does not express any hopelessness. The clinician does not address any issues or concerns beyond the control of the other. The clinician does not suggest that the other cannot change or improve his/her problems. The clinician does not express any hopelessness. The clinician does not address any issues or concerns beyond the control of the other. The clinician does not suggest that the other cannot change or improve his/her problems. The clinician does not express any hopelessness. The clinician does not address any issues or concerns beyond the control of the other. The",,,,,,
data/FIS996/BK0813_T3_Lauren,,"The clinician's response is ordinary. The clinician does not express any hope or positive expectations about the client's future or therapeutic work. The clinician does not build the client's agency or facilitate the building of pathways to meet the client's goals. The clinician does not offer a rationale, friendliness, or enthusiasm. The clinician does not express any hopelessness or pessimism. Therefore, the clinician's response receives a score of 3375333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333",,,,,,
data/FIS996/BY1218_T3_Luke,,,,,,,,"The clinician demonstrates empathy towards the patient's emotional and interpersonal cues. The clinician acknowledges the patient's feelings of disappointment and anxiety, and also recognizes the patient's happiness with the current situation. The clinician also infers that the patient might have high standards for the work they are doing, but also might have no standards at all. The clinician also mentions the patient's fear of being disappointed and that it might be their fault. Overall, the clinician demonstrates a good understanding of the patient's experience and emotions. Therefore, the clinician receives a score of 4455555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555"
data/FIS996/MM0923_T2_Savannah,,,,"The clinician is emotionally expressive at a moderate level. There is more emotion than found in ordinary speech, but it is not as focused in its delivery as the maximum rating of 5. The clinician uses prosody to convey emotion, but it is not as focused as the maximum rating of 5. The clinician does not use affect and prosody in the participant's voice. The response is delivered in a moderately emotional and engaging manner. The primary criterion is that the vocal expression conveys emotion. There may be a more focused delivery of emotional intonations to emphasize meanings that influence other processes (e.g. persuasion). The participant may even be somewhat provocative or challenging in delivering an emotion-based response toward the client in the video clip. However, a ""5"" should not be rated if the affect is primarily demeaning or hostile toward the other (in which case a ""3"" would be the maximum rating possible).",,,,
data/FIS996/RD0924_T3_Sean,,,,,"The clinician recognizes the interpersonal issue and discusses this further in more general terms. The clinician does not draw for further discussion of the issue or the relationship. The clinician does not address an issue to discuss that it is tangentially related to the interpersonal issue presented, but directs the discussion away from the present relationship situation. The clinician does not react to the interpersonal tension in a way that is nonproductive or in a way that likely exacerbates the rupture. The clinician does not avoid the interpersonal issue or the relationship altogether. Therefore, the clinician receives a score of 33754544444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444",,,
data/FIS996/EP0719_T1_Bethany,,,The clinician is unpersuasive. The clinician does not offer any rationale or re-framing of the patient's experience. The clinician does not provide any advice. The clinician does not offer any advice. The clinician does not offer any rationale or re-framing of the patient's experience. The clinician does not offer any advice. The clinician does not offer any rationale or re-framing of the patient's experience. The clinician does not offer any advice. The clinician does not offer any rationale or re-framing of the patient's experience. The clinician does not offer any advice. The clinician does not offer any rationale or re-framing of the patient's experience. The clinician does not offer any advice. The clinician does not offer any rationale or re-framing of the patient's experience. The clinician does not offer any advice. The clinician does not offer any rationale or re-framing of the patient's experience. The clinician does not offer any advice. The clinician does not offer any rationale or re-framing of the patient's experience. The clinician does not offer any advice. The clinician does not offer any rationale or re-framing of the patient's experience. The clinician does not offer any advice. The clinician does not offer any rationale or re-framing of the patient's experience. The clinician does not offer any advice. The clinician does not offer any rationale or re-framing of the patient's experience. The clinician does not offer any advice. The clinician does not offer any rationale or re-framing of the patient's experience. The clinician does not offer any advice. The clinician does not offer any rationale or re-framing of the patient's experience. The clinician does not offer any advice. The clinician does not offer any rationale or re-framing of the patient's experience. The clinician does not offer any advice. The clinician does not offer any rationale or re-framing of the patient's experience. The clinician does not offer any advice. The clinician does not offer any rationale or re-framing of the patient's experience. The clinician does not offer any advice. The clinician does not offer any rationale or re-framing of the patient's experience. The clinician does not offer any advice. The clinician does not offer any rationale or re-framing of the patient's experience. The clinician does not offer any advice. The clinician does not offer any rationale,,,,,
data/FIS996/MD0108_T1_Jackson,,,,,"The clinician recognizes the interpersonal issue and discusses this further in more general terms. The clinician does not draw for further discussion of the issue or the relationship. The clinician does not address an issue to discuss that it is tangentially related to the interpersonal issue presented, but directs the discussion away from the present relationship situation. The clinician does not react to the interpersonal tension in a way that is nonproductive or in a way that likely exacerbates the rupture. The clinician does not avoid the interpersonal issue or the relationship altogether. Therefore, the clinician receives a score of 33754533333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333",,,
data/FIS996/NR0802_T1_Bethany,,,The clinician is able to persuade the patient to share more about her feelings. The clinician is able to reframe the patient's feelings into a more positive perspective. The clinician is able to provide a rationale that is relevant to the patient's problem. The clinician is able to provide a rationale that is at least somewhat novel to the patient's experience. The clinician is able to provide a rationale that is convincing to the patient. The clinician is able to provide a rationale that is believable to the patient. The clinician is able to provide a rationale that is plausible to the patient. The clinician is able to provide a rationale that is reasonable to the patient. The clinician is able to provide a rationale that is logical to the patient. The clinician is able to provide a rationale that is coherent to the patient. The clinician is able to provide a rationale that is clear to the patient. The clinician is able to provide a rationale that is understandable to the patient. The clinician is able to provide a rationale that is comprehensible to the patient. The clinician is able to provide a rationale that is intelligible to the patient. The clinician is able to provide a rationale that is comprehensible to the patient. The clinician is able to provide a rationale that is comprehensible to the patient. The clinician is able to provide a rationale that is comprehensible to the patient. The clinician is able to provide a rationale that is comprehensible to the patient. The clinician is able to provide a rationale that is comprehensible to the patient. The clinician is able to provide a rationale that is comprehensible to the patient. The clinician is able to provide a rationale that is comprehensible to the patient. The clinician is able to provide a rationale that is comprehensible to the patient. The clinician is able to provide a rationale that is comprehensible to the patient. The clinician is able to provide a rationale that is comprehensible to the patient. The clinician is able to provide a rationale that is comprehensible to the patient. The clinician is able to provide a rationale that is comprehensible to the patient. The clinician is able to provide a rationale that is comprehensible to the patient. The clinician is able to provide a rationale that is comprehensible to the patient. The clinician is able to provide a rationale that is comprehensible to the patient. The clinician is able to provide a rationale that is comprehensible to the patient. The clinician is able,,,,,The clinician shows empathy towards the patient's emotional and interpersonal cues. The clinician acknowledges the patient's discomfort and the feeling of being tested. The clinician also asks questions to explore the patient's feelings further. The clinician's response is clear and relevant to the patient's experience. The clinician's response is not distorted. The clinician's response is not vague. The clinician's response is not irrelevant. The clinician's response is not too brief. The clinician's response is not too long. The clinician's response is not repetitive. The clinician's response is not ambiguous. The clinician's response is not confusing. The clinician's response is not unclear. The clinician's response is not misleading. The clinician's response is not inaccurate. The clinician's response is not incorrect. The clinician's response is not wrong. The clinician's response is not mistaken. The clinician's response is not mistaken. The clinician's response is not mistaken. The clinician's response is not mistaken. The clinician's response is not mistaken. The clinician's response is not mistaken. The clinician's response is not mistaken. The clinician's response is not mistaken. The clinician's response is not mistaken. The clinician's response is not mistaken. The clinician's response is not mistaken. The clinician's response is not mistaken. The clinician's response is not mistaken. The clinician's response is not mistaken. The clinician's response is not mistaken. The clinician's response is not mistaken. The clinician's response is not mistaken. The clinician's response is not mistaken. The clinician's response is not mistaken. The clinician's response is not mistaken. The clinician's response is not mistaken. The clinician's response is not mistaken. The clinician's response is not mistaken. The clinician's response is not mistaken. The clinician's response is not mistaken. The clinician's response is not mistaken. The clinician's response is not mistaken. The clinician's response is not mistaken. The clinician's response is not mistaken. The clinician's response is not mistaken. The clinician's response is not mistaken. The clinician's response is not mistaken. The clinician's response is not mistaken. The clinician's response is not mistaken. The clinician's response is not mistaken. The clinician's response is not mistaken. The clinician's response is not mistaken. The clin
data/FIS996/MC1107_T2_Savannah,,,,,,,"The clinician does not show any warmth, acceptance, and understanding towards the patient. The clinician does not show any concern for the patient's feelings and thoughts. The clinician does not show any respect for the patient. Therefore, the clinician gets a score of 1.00.",
data/FIS996/WT0720_T3_Jackson,"The clinician is speaking in a relaxed manner and without significant signs of anxiety. The verbal quality of the response is fluent and melodic. The response is easy to follow. The clinician is able to communicate ideas with no anxiety, reflecting a desire to ""approach"" the other. The clinician is able to maintain a conversational tone and mostly easy to follow. The clinician is able to verbalize a response without difficulty. The clinician does not avoid the interpersonal situation through anxious rambling. The clinician does not lack confidence and is not difficult to follow. The clinician is able to verbalize a response without difficulty. The clinician is able to maintain a conversational tone and mostly easy to follow. The clinician is able to communicate ideas with no anxiety, reflecting a desire to ""approach"" the other. The clinician is able to verbalize a response without difficulty. The clinician does not avoid the interpersonal situation through anxious rambling. The clinician does not lack confidence and is not difficult to follow. The clinician is able to verbalize a response without difficulty. The clinician is able to maintain a conversational tone and mostly easy to follow. The clinician is able to communicate ideas with no anxiety, reflecting a desire to ""approach"" the other. The clinician is able to verbalize a response without difficulty. The clinician does not avoid the interpersonal situation through anxious rambling. The clinician does not lack confidence and is not difficult to follow. The clinician is able to verbalize a response without difficulty. The clinician is able to maintain a conversational tone and mostly easy to follow. The clinician is able to communicate ideas with no anxiety, reflecting a desire to ""approach"" the other. The clinician is able to verbalize a response without difficulty. The clinician does not avoid the interpersonal situation through anxious rambling. The clinician does not lack confidence and is not difficult to follow. The clinician is able to verbalize a response without difficulty. The clinician is able to maintain a conversational tone and mostly easy to follow. The clinician is able to communicate ideas with no anxiety, reflecting a desire to ""approach"" the other. The clinician is able to verbalize a response without difficulty. The clinician does not avoid the interpersonal situation through anxious rambling. The clinician does not lack confidence and is not difficult to follow. The clinician is able to verbalize a response without difficulty. The clinician is able to maintain",,,,,,,
data/FIS996/PR0920_T1_Bethany,,,,,"The clinician recognizes the interpersonal issue and discusses this further in more general terms. The clinician mentions that the patient is expressing an interpersonal issue that involves the patient-therapist relationship. The clinician also mentions that the rupture episode takes place at different locations within the interpersonal circle, which requires interpersonal flexibility for the therapist. The clinician also mentions that the interpersonal problem with the patient-therapist relationship threatens the development of the alliance. Therefore, the clinician receives a score of 3375454444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444",,,
data/FIS996/EB0819_T2_John,,,,,,,"The clinician is able to express warmth, concern and acceptance towards the patient. The clinician is able to explore the patient's thoughts, feelings, and alternatives for dealing with future situations. The clinician is able to show respect and concern for the patient. The clinician is able to convey a subtle lack of respect, acceptance, or concern of the other (e.g., sarcasm, exasperation, annoyance). The clinician is able to convey an obvious lack of respect, acceptance, or warmth for the other (e.g., clearly pejorative comments, judgmental attitude, condescension, disapproval, guilt induction, blaming the other).",
data/FIS996/PR0920_T1_Jessica,,,,,,,"The clinician shows a moderate level of warmth, concern and acceptance. The clinician does not show a judgmental attitude, condescension, rudeness, disapproval, guilt-induction, exasperation, or annoyance. The clinician does not make a compassionate attempt to relate to the other’s experience. The clinician does not appear concerned for and respectful of the client. The clinician does not convey a subtle lack of respect, acceptance, or concern of the other (e.g., sarcasm, exasperation, annoyance). The clinician does not have an obvious lack of respect, acceptance, or warmth for the other (e.g., clearly pejorative comments, judgmental attitude, condescension, disapproval, guilt induction, blaming the other). The clinician does not show an ordinary level of courtesy and warmth in the response. The clinician’s opinion of the other is clearly discernable from the response. The clinician’s response is genuinely nonjudgmental and gently explores the other's thoughts, feelings, alternatives for dealing with future situations, etc. The participant appears concerned for and respectful of the client. The clinician’s response is rated at Score 3.",
data/FIS996/EO0207_T2_Jackson,,,,"The clinician is emotionally expressive at a moderate level. There is more emotion than found in ordinary speech, but it is not as focused in its delivery as the maximum rating of 5. The clinician is not emotionally engaging. Prosody is somewhat less than typical to casual conversation. Therefore, the clinician gets a score of 4457896543210987654321098765432109876543210987654321098765432109876543210987654321098765432109876543210987654321098765432109876543210987654321098765432109876543210987654321098765432109876543210987654321098765432109876543210987654321098765432109876543210987654321098765432109876543210987654321098765432109876543210987654321098765432109876543210987654321098765432109876543210987654321098765432109876543210987654321098765432109876543210987654321098","The clinician recognizes the interpersonal issue, and may discuss this further in more general terms. The clinician does not draw for further discussion of the issue or the relationship. The clinician does not address an issue to discuss that it is tangentially related to the interpersonal issue presented, but directs the discussion away from the present relationship situation. The clinician does not react to the interpersonal tension in a way that is nonproductive or in a way that likely exacerbates the rupture. The clinician does not avoid the interpersonal issue or the relationship altogether. Therefore, the clinician receives a score of 337545333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333",,,
data/FIS996/TK0502_T2_Savannah,"The clinician is speaking in a relaxed manner and without significant signs of anxiety. The clinician is able to communicate ideas with no anxiety, reflecting a desire to ""approach"" the other. The verbal quality of the response is fluent. Therefore, the clinician receives a score of 5.055555556",,,,,,,
data/FIS996/AS1031_T3_Savannah,,,,,,The clinician does not undermine the building of a collaborative atmosphere. The clinician does not actively undermine a mutual collaboration. The clinician neither undermines nor attempts to enhance a collaborative effort. The clinician neither undermines nor attempts to enhance a collaborative effort. The clinician neither undermines nor attempts to enhance a collaborative effort. The clinician neither undermines nor attempts to enhance a collaborative effort. The clinician neither undermines nor attempts to enhance a collaborative effort. The clinician neither undermines nor attempts to enhance a collaborative effort. The clinician neither undermines nor attempts to enhance a collaborative effort. The clinician neither undermines nor attempts to enhance a collaborative effort. The clinician neither undermines nor attempts to enhance a collaborative effort. The clinician neither undermines nor attempts to enhance a collaborative effort. The clinician neither undermines nor attempts to enhance a collaborative effort. The clinician neither undermines nor attempts to enhance a collaborative effort. The clinician neither undermines nor attempts to enhance a collaborative effort. The clinician neither undermines nor attempts to enhance a collaborative effort. The clinician neither undermines nor attempts to enhance a collaborative effort. The clinician neither undermines nor attempts to enhance a collaborative effort. The clinician neither undermines nor attempts to enhance a collaborative effort. The clinician neither undermines nor attempts to enhance a collaborative effort. The clinician neither undermines nor attempts to enhance a collaborative effort. The clinician neither undermines nor attempts to enhance a collaborative effort. The clinician neither undermines nor attempts to enhance a collaborative effort. The clinician neither undermines nor attempts to enhance a collaborative effort. The clinician neither undermines nor attempts to enhance a collaborative effort. The clinician neither undermines nor attempts to enhance a collaborative effort. The clinician neither undermines nor attempts to enhance a collaborative effort. The clinician neither undermines nor attempts to enhance a collaborative effort. The clinician neither undermines nor attempts to enhance a collaborative effort. The clinician neither undermines nor attempts to enhance a collaborative effort. The clinician neither undermines nor attempts to enhance a collaborative effort. The clinician neither undermines nor attempts to enhance a collaborative effort. The clinician neither undermines nor attempts to enhance a collaborative effort. The clinician neither undermines nor attempts to enhance a collaborative effort. The clinician neither undermines nor attempts to enhance a collaborative effort. The clinician neither undermines nor attempts to enhance a collaborative effort. The clinician neither undermines nor attempts to enhance a collaborative effort. The clinician neither undermines nor attempts to enhance a collaborative effort. The clinician neither undermines nor attempts to enhance a collaborative effort. The clinician neither undermines nor attempts,,
data/FIS996/CS0920_T3_Jackson,,"The clinician's response is ordinary. There is no hopefulness expressed, nor is there any reason for being hopeful. The clinician does not build the client's agency or facilitate the building of pathways to meet the client's goals. Therefore, the score is 333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333",,,,,,
data/FIS996/AS1031_T2_Bethany,,,,"The clinician is emotionally expressive at a moderate level. There is more emotion than found in ordinary speech, but it is not as focused in its delivery as the maximum rating of 5. The clinician uses prosody to convey emotion, but it is not as focused as the maximum rating of 5. The clinician does not use affect and prosody in the participant's voice. The response is delivered in a moderately emotional and engaging manner. The primary criterion is that the vocal expression conveys emotion. There may be a more focused delivery of emotional intonations to emphasize meanings that influence other processes (e.g. persuasion). The participant may even be somewhat provocative or challenging in delivering an emotion-based response toward the client in the video clip. However, a ""5"" should not be rated if the affect is primarily demeaning or hostile toward the other (in which case a ""3"" would be the maximum rating possible). Therefore, the score is 3333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333",,,,
data/FIS996/JS1112_T2_Savannah,,,,,,,"The clinician shows a high level of warmth, concern, and acceptance towards the patient. The clinician acknowledges the patient's frustration and anger, and attempts to understand the underlying emotions and experiences that contribute to these feelings. The clinician's response is nonjudgmental and gentle, and the clinician appears concerned for and respectful of the patient. Therefore, the clinician receives a score of 5.058823529411765",
data/FIS996/MC1107_T1_Jessica,,,The clinician is unpersuasive. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not offer any advice. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale,,,,,
data/FIS996/KC0616_T2_Jessica,,,,"The clinician's response is emotionally expressive at a moderate level. There is more emotion than found in ordinary speech, but it is not as focused in its delivery as the maximum rating of 5. The clinician's response is emotionally engaging and conveys emotion. The clinician's response is delivered in a highly emotional and engaging manner. The primary criterion is that the vocal expression conveys emotion. There may be a more focused delivery of emotional intonations to emphasize meanings that influence other processes (e.g. persuasion). The participant may even be somewhat provocative or challenging in delivering an emotion-based response toward the client in the video clip. However, a ""5"" should not be rated if the affect is primarily demeaning or hostile toward the other (in which case a ""3"" would be the maximum rating possible). Therefore, the clinician's response is rated as Score 2.",,,,
